JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2331676.5,1671-Oct-24,8.115854613496499E-01,5.725554685899102E-01,4.798588817990115E-04,-1.019569950386893E-02,1.400304813026974E-02,1.009402399297403E-05,5.736374818295188E-03,9.932225107954824E-01,-2.589096151306316E-04,
2331747.5,1672-Jan-03,-2.892501434641466E-01,9.398041088207004E-01,6.916938294972273E-04,-1.672685928244922E-02,-5.129129940513848E-03,-5.359351241866081E-06,5.679122965168416E-03,9.833096597159280E-01,1.816858725644643E-05,
2331754.5,1672-Jan-10,-4.037979767212422E-01,8.968288682374832E-01,6.488931021903248E-04,-1.595963859419386E-02,-7.130552555421163E-03,-6.581604756243971E-06,5.680465967055400E-03,9.835421932843308E-01,5.040975865812604E-05,
2331756.5,1672-Jan-12,-4.354575759545126E-01,8.820163157052975E-01,6.356407737199449E-04,-1.569697836539104E-02,-7.680299825140163E-03,-6.661558919953101E-06,5.681115507498915E-03,9.836546577258303E-01,6.223135191013314E-05,
2331786.5,1672-Feb-11,-8.256356646893083E-01,5.420487994341414E-01,3.589816869017623E-04,-9.709108210154966E-03,-1.443918876258385E-02,-1.093757657252414E-05,5.704304002648272E-03,9.876696212007340E-01,1.918021437676705E-04,
2331795.5,1672-Feb-20,-9.024853695378428E-01,4.059469981473831E-01,2.575724609675656E-04,-7.335386207090391E-03,-1.574627954439180E-02,-1.195298004174020E-05,5.715349971166704E-03,9.895821713623890E-01,2.303201761417170E-04,
2331811.5,1672-Mar-07,-9.833725567896496E-01,1.414677803535581E-01,4.954516387453096E-05,-2.715424709421480E-03,-1.708608040792371E-02,-1.284386736169626E-05,5.737955577415193E-03,9.934962107526623E-01,2.548008033960363E-04,
2331818.5,1672-Mar-14,-9.951124962552990E-01,2.115492059923110E-02,-3.769446318787035E-05,-6.387228239973041E-04,-1.724898603269947E-02,-1.229696561721745E-05,5.748589029608969E-03,9.953373359268126E-01,2.719686960598554E-04,
2331827.5,1672-Mar-23,-9.888557649863098E-01,-1.337457159457022E-01,-1.513835843488530E-04,2.026263465457138E-03,-1.710620432757748E-02,-1.304493212316582E-05,5.763156070760783E-03,9.978595409161943E-01,2.848108364374917E-04,
2331832.5,1672-Mar-28,-9.750549195427107E-01,-2.186868379060232E-01,-2.170029499010092E-04,3.490603030720922E-03,-1.684829508970019E-02,-1.306652219532047E-05,5.771347121231973E-03,9.992777773412445E-01,2.811766276044109E-04,
2331841.5,1672-Apr-06,-9.320764255088849E-01,-3.670608514022147E-01,-3.269926317762548E-04,6.033157488533255E-03,-1.605668652119735E-02,-1.119240896278847E-05,5.785617347857570E-03,1.001748590488512E+00,2.699487886759270E-04,
2331848.5,1672-Apr-13,-8.832904807671508E-01,-4.765368489429344E-01,-4.020356481124033E-04,7.887035971635911E-03,-1.518836408794608E-02,-1.047622225343562E-05,5.796530727129480E-03,1.003638183533781E+00,2.702922070116985E-04,
2331857.5,1672-Apr-22,-8.021969161010718E-01,-6.071299294463407E-01,-4.961242733316783E-04,1.009960552551330E-02,-1.377707016459494E-02,-1.032589073904998E-05,5.810432337348772E-03,1.006045172728781E+00,2.610264038308060E-04,
2331864.5,1672-Apr-29,-7.259443474875641E-01,-6.990398827822932E-01,-5.641449088144224E-04,1.165915953996751E-02,-1.244978963161756E-02,-8.805163399746937E-06,5.820542822482981E-03,1.007795748963502E+00,2.371546892204540E-04,
